conf4-4-./batchseries04/batch00-02,.500,-362.41303615,0.762592
conf4-4-./batchseries04/batch00-03,.500,-362.54118096,0.817119
conf4-4-./batchseries04/batch00-04,.500,-362.45557269,0.77038
conf4-4-./batchseries04/batch00-05,.500,-362.61995203,0.796192
conf4-4-./batchseries04/batch00-06,.500,-362.47175663,0.74977
conf4-4-./batchseries04/batch00-07,.500,-362.65410483,0.826378
conf4-4-./batchseries04/batch00-08,.500,-362.65228541,0.80622
conf4-4-./batchseries04/batch00-09,.500,-362.54332409,0.7738
conf4-4-./batchseries04/batch00-10,.500,-362.50662875,0.768749
conf4-4-./batchseries04/batch01-01,.500,-362.62350680,0.82171
conf4-4-./batchseries04/batch01-02,.500,-362.34678823,0.649542
conf4-4-./batchseries04/batch01-03,.500,-362.54806587,0.744835
conf4-4-./batchseries04/batch01-04,.500,-362.66197478,0.811237
conf4-4-./batchseries04/batch01-05,.500,-362.66229240,0.822225
conf4-4-./batchseries04/batch01-06,.500,-362.59010075,0.764213
conf4-4-./batchseries04/batch01-07,.500,-362.71020104,0.82911
conf4-4-./batchseries04/batch01-08,.500,-362.53581547,0.766951
conf4-4-./batchseries04/batch01-09,.500,-362.68865908,0.798252
conf4-4-./batchseries04/batch01-10,.500,-362.54094905,0.814349
conf5-3-./batchseries00/batch00-01,.625,-362.60358301,0.760966
conf5-3-./batchseries00/batch00-02,.625,-362.75301040,0.783006
conf5-3-./batchseries00/batch00-03,.625,-362.34409883,0.636295
conf5-3-./batchseries00/batch00-04,.625,-362.74779871,0.738701
conf5-3-./batchseries00/batch00-05,.625,-362.61555155,0.699405
conf5-3-./batchseries00/batch00-06,.625,-362.96491383,0.830561
conf5-3-./batchseries00/batch00-07,.625,-362.67554414,0.796239
conf5-3-./batchseries00/batch00-08,.625,-362.62877489,0.695254
conf5-3-./batchseries00/batch00-09,.625,-362.69886076,0.733502
conf5-3-./batchseries00/batch00-10,.625,-362.76479711,0.809164
conf5-3-./batchseries00/batch01-01,.625,-362.48988836,0.760755
conf5-3-./batchseries00/batch01-02,.625,-362.91119975,0.825485
conf5-3-./batchseries00/batch01-03,.625,-362.79057539,0.81311
conf5-3-./batchseries00/batch01-04,.625,-362.65532363,0.760367
conf5-3-./batchseries00/batch01-05,.625,-362.79320156,0.828462
conf5-3-./batchseries00/batch01-06,.625,-362.52300176,0.705594
conf5-3-./batchseries00/batch01-07,.625,-362.52934821,0.788031
conf5-3-./batchseries00/batch01-08,.625,-362.43993794,0.713907
conf5-3-./batchseries00/batch01-09,.625,-362.74722139,0.810095
conf5-3-./batchseries00/batch01-10,.625,-362.84068030,0.827691
conf5-3-./batchseries01/batch00-01,.625,-362.87869511,0.800048
conf5-3-./batchseries01/batch00-02,.625,-362.84066610,0.804309
conf5-3-./batchseries01/batch00-03,.625,-362.72555730,0.736879
conf5-3-./batchseries01/batch00-04,.625,-362.44457325,0.653597
conf5-3-./batchseries01/batch00-05,.625,-362.85422270,0.819812
conf5-3-./batchseries01/batch00-06,.625,-362.61812147,0.709551
conf5-3-./batchseries01/batch00-07,.625,-362.80273278,0.786645
conf5-3-./batchseries01/batch00-08,.625,-362.88581350,0.81595
conf5-3-./batchseries01/batch00-09,.625,-362.73165658,0.732136
conf5-3-./batchseries01/batch00-10,.625,-362.75130516,0.778045
conf5-3-./batchseries01/batch01-01,.625,-362.85108632,0.786684
conf5-3-./batchseries01/batch01-02,.625,-362.76886918,0.833056
conf5-3-./batchseries01/batch01-03,.625,-362.58499674,0.730759
conf5-3-./batchseries01/batch01-04,.625,-362.76428047,0.821875
conf5-3-./batchseries01/batch01-05,.625,-362.86176799,0.855183
conf5-3-./batchseries01/batch01-06,.625,-362.85383350,0.80396
conf5-3-./batchseries01/batch01-07,.625,-362.78664810,0.808917
conf5-3-./batchseries01/batch01-08,.625,-362.73382142,0.813795
conf5-3-./batchseries01/batch01-09,.625,-362.88046261,0.830986
conf5-3-./batchseries01/batch01-10,.625,-362.68145082,0.750316
conf5-3-./batchseries02/batch00-01,.625,-362.79019913,0.811893
conf5-3-./batchseries02/batch00-02,.625,-362.43603366,0.656425
conf5-3-./batchseries02/batch00-03,.625,-362.81770940,0.81805
conf5-3-./batchseries02/batch00-04,.625,-362.64381934,0.693245
conf5-3-./batchseries02/batch00-05,.625,-362.79185474,0.825622
conf5-3-./batchseries02/batch00-06,.625,-362.77648522,0.843588
conf5-3-./batchseries02/batch00-07,.625,-362.68470528,0.769704
conf5-3-./batchseries02/batch00-08,.625,-362.38662661,0.629095
conf5-3-./batchseries02/batch00-09,.625,-362.59420694,0.755371
conf5-3-./batchseries02/batch00-10,.625,-362.53938474,0.709793
conf5-3-./batchseries02/batch01-01,.625,-362.31301084,0.649004
conf5-3-./batchseries02/batch01-02,.625,-362.89691302,0.801318
conf5-3-./batchseries02/batch01-03,.625,-362.44426120,0.655134
conf5-3-./batchseries02/batch01-04,.625,-362.79137125,0.790599
conf5-3-./batchseries02/batch01-05,.625,-362.44807725,0.700119
conf5-3-./batchseries02/batch01-06,.625,-362.81119580,0.812848
conf5-3-./batchseries02/batch01-07,.625,-362.68264786,0.776343
